src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.178.65,51.104.15.253,33348,443,6,2024-11-22 15:43:02,90.27400231361389,157.62013021831177,0.3323215901714353,0.18831556776381336,0.14400602240762198,17,13,6392,7837,1494,66,376.0,468.34828669170855,6462,66,602.8461538461538,1693.1046969378174,6462,66,474.3,1174.3633778917554,1379129.3433333337,340,260,20,9,3.1128966315039275,45.07570028305054,0.0,11.415371380519677,90.25036644935608,45.07570028305054,4.76837158203125e-07,5.640647903084755,14.90133071540098,90.25322532653809,45.09618377685547,0.0,7.521102110544841,16.795821887477107,7,6,0,0,0,2,0,13,29,0,0,0.7647058823529411,474.3,64240,16383,0,0,0,0,0,0,0,0,2711.0,5.0,0,0,16313856.734576758,0,376.0,602.8461538461538,0,17,13,6392,7837
192.168.178.56,239.255.255.250,39164,1900,17,2024-11-22 15:43:06,90.004638671875,17.143560851627115,0.04444215386034248,0.04444215386034248,0.0,4,0,1543,0,427,369,385.75,24.097458372201828,0,0,0,0.0,427,369,385.75,24.097458372201828,580.6875,32,0,8,4,30.001546223958332,30.001704692840576,30.00136113166809,0.00014151601605475665,90.004638671875,30.001704692840576,30.00136113166809,30.001546223958332,0.00014151601605475665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,385.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385.75,0,0,4,0,1543,0
192.168.178.65,155.133.250.4,39123,27018,6,2024-11-22 15:43:15,90.08140659332275,144.7246495478942,0.41073958988050047,0.21092032993863538,0.1998192599418651,19,18,7600,5437,864,66,400.0,359.1050278854803,1075,66,302.05555555555554,366.57687873717754,1075,66,352.35135135135135,366.0474947928476,133990.7684441198,380,360,20,13,2.5022612942589655,20.078165531158447,8.106231689453125e-06,4.696006188923385,90.08140659332275,20.090675592422485,0.00045752525329589844,5.004522588517931,5.630298506793166,83.65730571746826,20.0919406414032,0.0004665851593017578,4.921017983380486,5.785600827138944,13,6,0,0,0,0,0,19,37,0,0,0.9473684210526315,352.35135135135135,35740,19015,9.956464052200317,2.0090949535369873,4.796820084253947,3.6523661851280274,17.186848402023315,5.867539405822754,9.87294109662374,5.17953318934178,0,0,0,0,0,0,400.0,302.05555555555554,0,19,18,7600,5437
192.168.178.65,34.149.100.209,46566,443,6,2024-11-22 15:43:16,117.11641931533813,49.57460306540996,0.2134628103057611,0.12807768618345666,0.08538512412230444,15,10,4095,1711,1466,66,273.0,415.86199634013207,652,66,171.1,172.47228762905652,1466,66,232.24,343.7374905360194,118155.4624,300,200,20,9,4.879850804805756,58.51350259780884,0.0,16.163063532596336,117.11641931533813,58.526423931121826,9.5367431640625e-07,8.365458522524152,20.464538980291675,117.09989356994629,58.53305006027222,0.0,13.011099285549587,24.327378172471978,8,6,0,0,0,2,0,14,24,0,0,0.6666666666666666,232.24,64240,1040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273.0,171.1,0,15,10,4095,1711
192.168.178.1,224.0.0.251,5353,5353,17,2024-11-22 15:43:17,120.00829863548279,3.6414148435464315,0.0416637853952681,0.0416637853952681,0.0,5,0,437,0,106,75,87.4,15.186836405255704,0,0,0,0.0,106,75,87.4,15.186836405255704,230.64000000000001,40,0,8,5,30.002074658870697,60.00449991226196,0.00022339820861816406,30.001801434442495,120.00829863548279,60.00449991226196,0.00022339820861816406,30.002074658870697,30.001801434442495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,87.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.4,0,0,5,0,437,0
192.168.178.71,224.0.0.251,5353,5353,17,2024-11-22 15:43:17,95.97557783126831,74.2272165584091,0.1979670290019333,0.1979670290019333,0.0,19,0,7124,0,508,189,374.94736842105266,156.0220880733206,0,0,0,0.0,508,189,374.94736842105266,156.0220880733206,24342.891966759005,152,0,8,19,5.331976546181573,36.85970878601074,0.24765920639038086,8.646906795798522,95.97557783126831,36.85970878601074,0.24765920639038086,5.331976546181573,8.646906795798522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,374.94736842105266,0,0,0,0,0,0,36.85970878601074,8.003003597259521,22.431356191635132,14.42835259437561,1385.0,5.0,0,0,789.6289460558081,0,374.94736842105266,0,0,19,0,7124,0
192.168.178.115,224.0.0.251,5353,5353,17,2024-11-22 15:43:17,96.87995624542236,14.223788422335414,0.06193231533672894,0.06193231533672894,0.0,6,0,1378,0,416,82,229.66666666666666,97.3818372296509,0,0,0,0.0,416,82,229.66666666666666,97.3818372296509,9483.222222222223,48,0,8,6,19.37599124908447,36.833821296691895,0.09966897964477539,12.74787669147489,96.87995624542236,36.833821296691895,0.09966897964477539,19.37599124908447,12.74787669147489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,229.66666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229.66666666666666,0,0,6,0,1378,0
192.168.178.41,224.0.0.120,43438,43438,17,2024-11-22 15:43:29,90.00039100646973,5.911085430303929,0.044444251355668644,0.044444251355668644,0.0,4,0,532,0,133,133,133.0,0.0,0,0,0,0.0,133,133,133.0,0.0,0.0,32,0,8,4,30.00013033548991,30.000786304473877,29.99891972541809,0.0008570295191817616,90.00039100646973,30.000786304473877,29.99891972541809,30.00013033548991,0.0008570295191817616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,133.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.0,0,0,4,0,532,0
192.168.178.65,3.162.79.32,56834,443,6,2024-11-22 15:43:31,112.87706208229065,3247.6394516075343,1.9047271078269097,1.045385110342211,0.8593419974846987,118,97,15871,350713,1494,66,134.5,162.93696139866643,7206,66,3615.59793814433,2621.2001212154078,7206,66,1705.0418604651163,2472.8483140488443,6114978.784294212,2360,1940,20,43,0.5274629069265918,58.284342527389526,0.0,4.549252362682301,112.87706208229065,58.284342527389526,1.9073486328125e-06,0.9647612143785526,6.118166578478718,112.86609482765198,58.3048779964447,0.0,1.1756884877880414,6.739557302230926,42,63,0,0,0,2,0,105,214,0,0,0.8220338983050848,1705.0418604651163,64240,313,50.63038873672485,2.987952470779419,26.809170603752136,23.821218132972717,55.29639005661011,23.547183990478516,39.42178702354431,15.874603033065796,928.75,6.5,48003.5,11.333333333333334,4986.22210261253,5729689.017188389,134.5,3615.59793814433,0,118,97,15871,350713
192.168.178.65,18.64.119.121,57416,443,6,2024-11-22 15:43:36,116.7952024936676,50.09623576205735,0.24829786995379644,0.1284299327347223,0.11986793721907414,15,14,3840,2011,1494,66,256.0,388.1443030626625,594,66,143.64285714285714,141.00891924315442,1494,66,201.75862068965517,301.1257791014858,90676.73483947682,300,280,20,8,4.1712572319167,58.41440510749817,0.0,15.013927925615631,116.7952024936676,58.41440510749817,2.384185791015625e-06,8.3425144638334,20.410307180619185,116.77791142463684,58.4687602519989,0.0,8.982916263433603,21.045616496995468,7,7,0,0,0,2,0,14,28,0,0,0.9333333333333333,201.75862068965517,64240,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256.0,143.64285714285714,0,15,14,3840,2011
