id,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,ICMP Code,ICMP Type,Total TCP Flow Time,Label,Attempted Category
26249,172.16.0.1-192.168.10.50-55310-80-6,172.16.0.1,55310,192.168.10.50,80,6,2017-07-05 12:50:47.747741,105625430,16,3,2541,0,231,0,158.81250000000003,110.58283094585704,0,0,0.0,0.0,24.056706798732087,0.1798809245084257,5868079.444444445,12523479.089187374,51327431,76,105625354,7041690.266666667,13475598.37590447,51327431,385,102622922,51311461.0,28070913.08994736,71160594,31462328,11,0,0,0,0,1,536,100,0.1514786732702532,0.0284022512381724,0,231,133.73684210526315,117.17643017891304,13730.315789473683,0,5,1,11,15,0,0,0,0.1875,133.73684210526315,158.8125,0.0,1155,5,722,0,0,0,0,133,0,0,29200,0,11,32,4709498.5,6659120.836175035,9418208,789,19241271.4,18815834.895417247,51327431,5798620,-1,-1,105625430,DoS Slowloris,-1
13225,172.16.0.1-192.168.10.50-53808-80-6,172.16.0.1,53808,192.168.10.50,80,6,2017-07-05 12:58:54.591229,99999267,2,2,16,0,8,8,8.0,0.0,0,0,0.0,0.0,0.1600011728085967,0.0400002932021491,33333089.0,57734549.1616209,99999204,5,99999209,99999209.0,0.0,99999209,99999209,99999262,99999262.0,0.0,99999262,99999262,2,0,0,0,0,0,64,64,0.0200001466010745,0.0200001466010745,0,8,4.0,4.618802153517006,21.33333333333333,0,0,0,2,4,0,0,0,1.0,4.0,8.0,0.0,0,0,0,0,0,0,0,4,0,0,229,235,1,32,5.0,0.0,5,5,99999204.0,0.0,99999204,99999204,-1,-1,700024691,DoS Slowloris,-1
26455,172.16.0.1-192.168.10.50-55726-80-6,172.16.0.1,55726,192.168.10.50,80,6,2017-07-05 12:51:41.679429,102637051,14,3,2541,0,231,0,181.5,98.36333744767994,0,0,0.0,0.0,24.75714155115388,0.1656321945571097,6414815.6875,13222683.50082012,51327496,80,102636962,7895150.923076922,14348817.573549144,51327496,426,102636971,51318485.5,28059991.82571193,71159896,31477075,11,0,0,0,0,1,456,100,0.1364029837529139,0.0292292108041958,0,231,149.47058823529412,113.78879428960636,12947.889705882351,0,3,1,11,15,0,0,0,0.2142857142857142,149.47058823529412,181.5,0.0,1155,5,723,0,0,0,0,149,0,0,29200,0,11,32,3207358.5,4534805.188290287,6413950,767,19244449.0,18811412.45684518,51327496,5831147,-1,-1,102637051,DoS Slowloris,-1
15452,172.16.0.1-192.168.10.50-54276-80-6,172.16.0.1,54276,192.168.10.50,80,6,2017-07-05 13:06:06.834122,49,1,1,8,0,8,8,8.0,0.0,0,0,0.0,0.0,163265.306122449,40816.32653061225,49.0,0.0,49,49,0,0.0,0.0,0,0,0,0.0,0.0,0,0,1,0,0,0,0,0,32,32,20408.163265306124,20408.163265306124,0,8,4.0,5.656854249492381,32.0,0,0,0,1,2,0,0,0,1.0,4.0,8.0,0.0,0,0,0,0,0,0,0,4,0,0,229,235,0,32,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,1016224142,DoS Slowloris,-1
26191,172.16.0.1-192.168.10.50-55190-80-6,172.16.0.1,55190,192.168.10.50,80,6,2017-07-05 12:50:33.788005,102689377,14,3,2541,0,231,0,181.5,98.36333744767994,0,0,0.0,0.0,24.74452639828558,0.1655477956595257,6418086.062499999,13223251.936910942,51327606,3,102689290,7899176.153846154,14349014.061314823,51327606,3,102689282,51344641.0,28024194.544914365,71160739,31528543,11,0,0,0,0,1,456,100,0.1363334787784329,0.0292143168810927,0,231,149.47058823529412,113.78879428960636,12947.889705882351,0,3,1,11,15,0,0,0,0.2142857142857142,149.47058823529412,181.5,0.0,1155,5,723,0,0,0,0,149,0,0,29200,0,11,32,3205414.5,4532403.853661377,6410308,521,19255692.2,18803149.05451759,51327606,5862747,-1,-1,102689377,DoS Slowloris,-1
10682,172.16.0.1-192.168.10.50-53858-80-6,172.16.0.1,53858,192.168.10.50,80,6,2017-07-05 12:50:58.642423,100000709,2,2,16,0,8,8,8.0,0.0,0,0,0.0,0.0,0.1599988656080428,0.0399997164020107,33333569.666666664,57735290.76803563,100000541,82,100000627,100000627.0,0.0,100000627,100000627,100000623,100000623.0,0.0,100000623,100000623,2,0,0,0,0,0,64,64,0.0199998582010053,0.0199998582010053,0,8,4.0,4.618802153517006,21.33333333333333,0,0,0,2,4,0,0,0,1.0,4.0,8.0,0.0,0,0,0,0,0,0,0,4,0,0,229,235,1,32,86.0,0.0,86,86,100000541.0,0.0,100000541,100000541,-1,-1,224069404,DoS Slowloris,-1
13328,172.16.0.1-192.168.10.50-54058-80-6,172.16.0.1,54058,192.168.10.50,80,6,2017-07-05 12:59:00.597379,99999411,2,2,16,0,8,8,8.0,0.0,0,0,0.0,0.0,0.1600009424055507,0.0400002356013876,33333137.0,57734582.93660682,99999291,48,99999363,99999363.0,0.0,99999363,99999363,99999339,99999339.0,0.0,99999339,99999339,2,0,0,0,0,0,64,64,0.0200001178006938,0.0200001178006938,0,8,4.0,4.618802153517006,21.33333333333333,0,0,0,2,4,0,0,0,1.0,4.0,8.0,0.0,0,0,0,0,0,0,0,4,0,0,229,235,1,32,72.0,0.0,72,72,99999291.0,0.0,99999291,99999291,-1,-1,703000057,DoS Slowloris,-1
13592,172.16.0.1-192.168.10.50-54320-80-6,172.16.0.1,54320,192.168.10.50,80,6,2017-07-05 12:59:22.639832,99999771,2,2,16,0,8,8,8.0,0.0,0,0,0.0,0.0,0.160000366400839,0.0400000916002097,33333257.0,57734737.089128494,99999589,80,99999669,99999669.0,0.0,99999669,99999669,99999691,99999691.0,0.0,99999691,99999691,2,0,0,0,0,0,64,64,0.0200000458001048,0.0200000458001048,0,8,4.0,4.618802153517006,21.33333333333333,0,0,0,2,4,0,0,0,1.0,4.0,8.0,0.0,0,0,0,0,0,0,0,4,0,0,229,235,1,32,80.0,0.0,80,80,99999589.0,0.0,99999589,99999589,-1,-1,712024294,DoS Slowloris,-1
13223,172.16.0.1-192.168.10.50-53800-80-6,172.16.0.1,53800,192.168.10.50,80,6,2017-07-05 12:58:54.591064,99999431,2,2,16,0,8,8,8.0,0.0,0,0,0.0,0.0,0.1600009104051802,0.040000227601295,33333143.666666664,57734526.933632925,99999233,79,99999312,99999312.0,0.0,99999312,99999312,99999352,99999352.0,0.0,99999352,99999352,2,0,0,0,0,0,64,64,0.0200001138006475,0.0200001138006475,0,8,4.0,4.618802153517006,21.33333333333333,0,0,0,2,4,0,0,0,1.0,4.0,8.0,0.0,0,0,0,0,0,0,0,4,0,0,229,235,1,32,79.0,0.0,79,79,99999233.0,0.0,99999233,99999233,-1,-1,700026364,DoS Slowloris,-1
26212,172.16.0.1-192.168.10.50-55232-80-6,172.16.0.1,55232,192.168.10.50,80,6,2017-07-05 12:50:38.825409,102643931,14,3,2541,0,231,0,181.5,98.36333744767994,0,0,0.0,0.0,24.75548213366848,0.165621092590462,6415245.6875,13214002.939505884,51327442,111,102643820,7895678.461538461,14338752.694864428,51327442,407,102643818,51321909.0,27869561.605577365,71028665,31615153,11,0,0,0,0,1,456,100,0.1363938409568511,0.0292272516336109,0,231,149.47058823529412,113.78879428960636,12947.889705882351,0,3,1,11,15,0,0,0,0.2142857142857142,149.47058823529412,181.5,0.0,1155,5,721,0,0,0,0,149,0,0,29200,0,11,32,3206693.0,4534189.298283873,6412849,537,19246086.8,18787171.088417016,51327442,5962597,-1,-1,102643931,DoS Slowloris,-1
