id,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,ICMP Code,ICMP Type,Total TCP Flow Time,Label,Attempted Category
128108,172.16.0.1-192.168.10.50-36200-80-6,172.16.0.1,36200,192.168.10.50,80,6,2017-07-06 13:40:22.024349,5039303,5,5,537,1881,537,0,107.4,240.15370078347743,1881,0,376.2,841.2087731354209,479.8282619640057,1.9844014142432,559922.5555555555,1666691.5533049384,5004343,4,5039260,1259815.0,2496828.1904705954,5004985,4,5039189,1259797.25,2496950.544169878,5005156,685,1,1,0,0,0,0,168,168,0.9922007071216,0.9922007071216,0,1881,241.8,600.1719753537315,360206.4,2,2,0,2,9,0,0,0,1.0,241.8,107.4,376.2,0,0,0,0,0,0,0,53,0,188,29200,235,1,32,34275.0,0.0,34275,34275,5004343.0,0.0,5004343,5004343,-1,-1,5039303,Web Attack - SQL Injection,-1
132410,172.16.0.1-192.168.10.50-36212-80-6,172.16.0.1,36212,192.168.10.50,80,6,2017-07-06 13:41:54.064531,5013185,7,5,600,4149,600,0,85.71428571428571,226.77868380553636,2701,0,829.8,1219.555738783595,947.301964719036,2.3936878451523333,455744.0909090909,1507215.1816732378,5000160,3,5013185,835530.8333333334,2040247.626780477,5000160,3,5012485,1253121.25,2498834.72521712,5001367,51,1,1,0,0,0,0,232,168,1.3963179096721945,0.9973699354801387,0,2701,395.75,845.9899123619512,715698.9318181819,2,2,0,2,11,0,0,0,0.7142857142857143,395.75,85.71428571428571,829.8,0,0,0,0,0,0,0,50,0,345,29200,236,1,32,12319.0,0.0,12319,12319,5000160.0,0.0,5000160,5000160,-1,-1,5013185,Web Attack - SQL Injection,-1
170332,172.16.0.1-192.168.10.50-36214-80-6,172.16.0.1,36214,192.168.10.50,80,6,2017-07-06 13:42:12.265347,5006123,6,4,599,2021,599,0,99.83333333333331,244.54072598785396,2021,0,505.25,1010.5,523.3590944529329,1.9975537956218816,556235.8888888889,1666466.2767457557,5000145,4,5006123,1001224.6,2235465.086828309,5000145,4,5005410,1668470.0,2886039.494778788,5000981,876,1,1,0,0,0,0,200,136,1.1985322773731288,0.7990215182487527,0,2021,262.0,646.0823820879535,417422.4444444444,2,2,0,2,9,0,0,0,0.6666666666666666,262.0,99.83333333333331,505.25,0,0,0,0,0,0,0,59,0,202,29200,236,1,32,5243.0,0.0,5243,5243,5000145.0,0.0,5000145,5000145,-1,-1,5006123,Web Attack - SQL Injection,-1
178932,172.16.0.1-192.168.10.50-36202-80-6,172.16.0.1,36202,192.168.10.50,80,6,2017-07-06 13:40:33.464668,5087203,6,5,600,4149,600,0,100.0,244.94897427831785,4149,0,829.8,1855.4892077293252,933.5188707822354,2.162288393052135,508720.3000000001,1579647.3449527377,5003905,4,5087155,1017431.0,2229138.9922274924,5004544,4,5087061,1271765.25,2489175.087275083,5005103,687,1,1,0,0,0,0,200,168,1.1794300325738918,0.9828583604782432,0,4149,431.7272727272727,1245.9505681132853,1552392.818181818,2,2,0,2,10,0,0,0,0.8333333333333334,431.7272727272728,100.0,829.8,0,0,0,0,0,0,0,54,0,377,29200,236,1,32,82611.0,0.0,82611,82611,5003905.0,0.0,5003905,5003905,-1,-1,5087203,Web Attack - SQL Injection,-1
222114,172.16.0.1-192.168.10.50-36242-80-6,172.16.0.1,36242,192.168.10.50,80,6,2017-07-06 13:42:45.285885,5017466,6,6,599,4149,599,0,99.83333333333331,244.54072598785396,2701,0,691.5,1142.197137100247,946.2944043865969,2.391645503925687,456133.2727272727,1508376.1449129386,5004049,4,5017393,1003478.6,2236746.265918488,5004683,4,5017339,1003467.8,2237003.609496127,5005134,47,1,1,0,0,0,0,200,200,1.1958227519628437,1.1958227519628437,0,2701,395.6666666666666,845.968012863299,715661.8787878788,2,2,0,2,11,0,0,0,1.0,395.6666666666667,99.83333333333331,691.5,0,0,0,0,0,0,0,49,0,345,29200,236,1,32,12710.0,0.0,12710,12710,5004049.0,0.0,5004049,5004049,-1,-1,5017466,Web Attack - SQL Injection,-1
237435,172.16.0.1-192.168.10.50-36244-80-6,172.16.0.1,36244,192.168.10.50,80,6,2017-07-06 13:42:50.310628,5009656,5,5,599,2021,599,0,119.8,267.8809437044748,2021,0,404.2,903.8186765054148,522.9900017087002,1.9961450446896956,556628.4444444445,1667691.5860804503,5003805,56,5009547,1252386.75,2501202.175900271,5004189,343,5009575,1252393.75,2501392.5538537363,5004482,493,1,1,0,0,0,0,168,168,0.9980725223448476,0.9980725223448476,0,2021,262.0,646.0823820879535,417422.4444444444,2,2,0,2,9,0,0,0,1.0,262.0,119.8,404.2,0,0,0,0,0,0,0,59,0,202,29200,236,1,32,5358.0,0.0,5358,5358,5003805.0,0.0,5003805,5003805,-1,-1,5009656,Web Attack - SQL Injection,-1
237573,172.16.0.1-192.168.10.50-36204-80-6,172.16.0.1,36204,192.168.10.50,80,6,2017-07-06 13:41:07.295664,5006730,5,5,599,2021,599,0,119.8,267.8809437044748,2021,0,404.2,903.8186765054148,523.2956440630911,1.9973116185614164,556303.3333333335,1666405.1463001128,5000049,78,5006652,1251663.0,2499247.5879617585,5000533,330,5006557,1251639.25,2499391.719163068,5000726,562,1,1,0,0,0,0,168,168,0.9986558092807082,0.9986558092807082,0,2021,262.0,646.0823820879535,417422.4444444444,2,2,0,2,9,0,0,0,1.0,262.0,119.8,404.2,0,0,0,0,0,0,0,59,0,202,29200,236,1,32,6119.0,0.0,6119,6119,5000049.0,0.0,5000049,5000049,-1,-1,5006730,Web Attack - SQL Injection,-1
239283,172.16.0.1-192.168.10.50-36196-80-6,172.16.0.1,36196,192.168.10.50,80,6,2017-07-06 13:40:07.419016,5006912,6,5,447,530,447,0,74.5,182.4869858373468,530,0,106.0,237.0232056149777,195.13025193971853,2.196962918461519,500691.2,1581042.152716422,5000415,4,5006912,1001382.4,2235682.639593285,5000692,4,5006308,1251577.0,2499623.035144966,5001011,312,1,1,0,0,0,0,200,168,1.1983434100699193,0.9986195083915996,0,530,88.81818181818184,198.4776149503103,39393.36363636365,2,2,0,2,10,0,0,0,0.8333333333333334,88.81818181818181,74.5,106.0,0,0,0,0,0,0,0,40,0,48,29200,235,1,32,5712.0,0.0,5712,5712,5000415.0,0.0,5000415,5000415,-1,-1,5006912,Web Attack - SQL Injection,-1
286052,172.16.0.1-192.168.10.50-36206-80-6,172.16.0.1,36206,192.168.10.50,80,6,2017-07-06 13:41:20.992304,5009699,5,5,523,530,523,0,104.6,233.892710446478,530,0,106.0,237.0232056149777,210.19226903652293,1.9961279110780903,556633.2222222224,1668020.010279087,5004686,43,5009628,1252407.0,2501911.0674602324,5005273,49,5009575,1252393.75,2501917.6781749334,5005270,658,1,1,0,0,0,0,168,168,0.9980639555390451,0.9980639555390451,0,530,105.3,221.99802301422017,49283.12222222222,2,2,0,2,9,0,0,0,1.0,105.3,104.6,106.0,0,0,0,0,0,0,0,52,0,53,29200,235,1,32,4355.0,0.0,4355,4355,5004686.0,0.0,5004686,5004686,-1,-1,5009699,Web Attack - SQL Injection,-1
319014,172.16.0.1-192.168.10.50-36210-80-6,172.16.0.1,36210,192.168.10.50,80,6,2017-07-06 13:41:46.489087,5008202,6,4,537,1881,537,0,89.5,219.22933197909444,1881,0,470.25,940.5,482.8080017539229,1.9967245730104335,556466.8888888889,1666578.0641843216,5000673,4,5008202,1001640.4,2235528.395564749,5000673,4,5007506,1669168.6666666667,2885894.758748027,5001512,878,1,1,0,0,0,0,200,136,1.1980347438062602,0.7986898292041735,0,1881,241.8,600.1719753537315,360206.4,2,2,0,2,9,0,0,0,0.6666666666666666,241.8,89.5,470.25,0,0,0,0,0,0,0,53,0,188,29200,235,1,32,6787.0,0.0,6787,6787,5000673.0,0.0,5000673,5000673,-1,-1,5008202,Web Attack - SQL Injection,-1
322934,172.16.0.1-192.168.10.50-36198-80-6,172.16.0.1,36198,192.168.10.50,80,6,2017-07-06 13:40:13.192475,5070496,5,5,460,1840,460,0,92.0,205.71825392998068,1840,0,368.0,822.8730157199227,453.60453888534767,1.9721936473275985,563388.4444444445,1664221.6158571783,5000920,4,5070454,1267613.5,2489426.63053838,5001447,4,5070368,1267592.0,2489575.6781686046,5001659,569,1,1,0,0,0,0,168,168,0.9860968236637992,0.9860968236637992,0,1840,230.0,583.875938116233,340911.1111111111,2,2,0,2,9,0,0,0,1.0,230.0,92.0,368.0,0,0,0,0,0,0,0,46,0,184,29200,235,1,32,69007.0,0.0,69007,69007,5000920.0,0.0,5000920,5000920,-1,-1,5070496,Web Attack - SQL Injection,-1
331413,172.16.0.1-192.168.10.50-36190-80-6,172.16.0.1,36190,192.168.10.50,80,6,2017-07-06 13:35:45.732950,6553942,8,6,860,2337,447,0,107.5,199.25862591115097,1808,0,389.5,726.421847138424,487.7980305593183,2.136118995255069,504149.3846153845,1410205.6308050454,5000020,4,6553942,936277.4285714286,1872316.3529854189,5000020,4,6553214,1310642.8,2163080.1334551154,5000817,827,2,2,0,0,0,0,264,200,1.2206394258600397,0.9154795693950296,0,1808,228.3571428571428,495.2874234907765,245309.6318681318,2,2,0,4,13,0,0,0,0.75,228.3571428571429,107.5,389.5,0,0,0,0,0,0,0,61,0,166,29200,243,2,32,1553084.0,0.0,1553084,1553084,5000020.0,0.0,5000020,5000020,-1,-1,6553942,Web Attack - SQL Injection,-1
344993,172.16.0.1-192.168.10.50-36208-80-6,172.16.0.1,36208,192.168.10.50,80,6,2017-07-06 13:41:34.345596,5010373,5,5,536,1840,536,0,107.2,239.70648718797744,1840,0,368.0,822.8730157199227,474.2161910899647,1.9958593901092792,556708.1111111111,1667905.060914473,5004454,48,5010300,1252575.0,2501671.321250655,5005081,49,5010244,1252561.0,2501729.6596196536,5005155,700,1,1,0,0,0,0,168,168,0.9979296950546396,0.9979296950546396,0,1840,237.6,587.6845714799356,345373.15555555554,2,2,0,2,9,0,0,0,1.0,237.6,107.2,368.0,0,0,0,0,0,0,0,53,0,184,29200,235,1,32,5219.0,0.0,5219,5219,5004454.0,0.0,5004454,5004454,-1,-1,5010373,Web Attack - SQL Injection,-1
