id,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,ICMP Code,ICMP Type,Total TCP Flow Time,Label,Attempted Category
307514,192.168.10.5-192.168.10.3-58181-53-17,192.168.10.5,58181,192.168.10.3,53,17,2017-07-06 12:39:06.818901,245,2,2,70,102,35,35,35.0,0.0,51,51,51.0,0.0,702040.8163265307,16326.530612244898,81.66666666666667,99.630985809302,194,4,4,4.0,0.0,4,4,47,47.0,0.0,47,47,0,0,0,0,0,0,16,16,8163.265306122449,8163.265306122449,35,51,43.0,9.237604307034012,85.33333333333331,0,0,0,0,0,0,0,0,1.0,43.0,35.0,51.0,0,0,0,0,0,0,0,17,0,25,0,0,1,8,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,0,BENIGN,-1
433705,192.168.10.51-66.235.139.19-35473-80-6,192.168.10.51,35473,66.235.139.19,80,6,2017-07-05 19:55:50.312099,15885639,9,8,2827,2334,1464,0,314.1111111111111,623.806148664079,1660,0,291.75,601.0623333494028,324.8846332212384,1.07014895655126,992852.4375,2746381.400299673,9959879,4,15885639,1985704.875,3747615.90257648,9959879,1307,15799199,2257028.4285714286,4013502.126293813,10083291,4,2,2,0,0,0,0,296,264,0.5665494475859612,0.5035995089652988,0,1660,303.5882352941176,593.9340303038218,352757.63235294115,2,2,0,4,16,0,0,0,0.8888888888888888,303.5882352941176,314.1111111111111,291.75,0,0,0,0,0,0,0,166,0,137,29200,7207,2,32,196100.0,155586.11927803842,306116,86084,7703604.5,3190853.998336574,9959879,5447330,-1,-1,15885639,BENIGN,-1
6958,192.168.10.16-172.217.3.99-44904-443-6,192.168.10.16,44904,172.217.3.99,443,6,2017-07-07 12:50:59.532877,117536539,15,13,580,4701,194,0,38.66666666666667,63.3038778621101,1418,0,361.61538461538464,584.3093556301517,44.930708739007535,0.238223791837192,4353205.148148148,15624407.490278816,58965030,3,117536539,8395467.07142857,21265074.37017381,58965030,135,117499448,9791620.666666666,22797501.89433525,59002014,3,6,7,0,0,0,0,500,424,0.12761988848421,0.110603903352982,0,1418,188.6071428571429,425.1125636804232,180720.69179894184,0,2,0,13,27,0,0,0,0.8666666666666667,188.6071428571429,38.66666666666666,361.61538461538464,0,0,0,0,0,0,0,20,0,167,29200,349,6,32,189982.0,216438.31465339032,343027,36937,58559763.5,573133.3806754759,58965030,58154497,-1,-1,117536539,BENIGN,-1
9834,192.168.10.19-157.240.2.35-42745-443-6,192.168.10.19,42745,157.240.2.35,443,6,2017-07-04 12:39:15.471004,119873883,22,15,3276,3147,1308,0,148.9090909090909,327.04214219357533,1685,0,209.80000000000004,432.1291473622209,53.58131262003084,0.3086577248857451,3329830.083333333,13669016.1667111,58958342,1,119873883,5708280.142857144,17683832.74299015,58958342,1,119838326,8559880.42857143,21342090.43305402,58993349,1,8,11,0,0,0,0,712,488,0.1835262147969295,0.1251315100888156,0,1685,173.5945945945946,368.6859141644868,135929.3033033033,0,2,0,19,36,0,0,0,0.6818181818181818,173.59459459459458,148.9090909090909,209.8,0,0,0,1408,4,103281,0,88,0,85,29200,134,8,32,1025456.5,1400432.7583145504,2015712,35201,58893984.0,91015.95644720765,58958342,58829626,-1,-1,119873883,BENIGN,-1
432138,192.168.10.16-23.194.100.14-51468-443-6,192.168.10.16,51468,23.194.100.14,443,6,2017-07-07 18:58:43.968559,116718337,29,23,1746,6950,587,0,60.20689655172413,148.70473604484653,1616,0,302.1739130434784,545.6026403040214,74.50414582243405,0.445516971339302,2288594.843137255,4187814.508930677,10194773,3,116718337,4168512.035714286,4998325.955944275,10272012,3,116640932,5301860.545454546,5091136.384715291,10272160,3,6,7,0,0,2,0,912,744,0.248461387862303,0.1970555834769989,0,1616,167.23076923076923,394.0530279525998,155277.78883861238,2,2,2,13,49,0,0,0,0.7931034482758621,167.23076923076923,60.206896551724135,302.17391304347825,0,0,0,4568,4,6172972,0,33,0,133,29200,1049,6,20,151179.18181818182,231191.91580797892,847748,77188,10149750.0,41975.71805222643,10194773,10030449,-1,-1,116718337,BENIGN,-1
66239,192.168.10.3-192.168.10.1-61782-53-17,192.168.10.3,61782,192.168.10.1,53,17,2017-07-07 17:36:04.177262,23081,1,1,62,112,62,62,62.0,0.0,112,112,112.0,0.0,7538.668168623543,86.65135826004072,23081.0,0.0,23081,23081,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,8,8,43.32567913002036,43.32567913002036,62,112,87.0,35.35533905932738,1250.0,0,0,0,0,0,0,0,0,1.0,87.0,62.0,112.0,0,0,0,0,0,0,0,31,0,56,0,0,0,8,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,0,BENIGN,-1
218387,192.168.10.15-156.154.202.36-51395-443-6,192.168.10.15,51395,156.154.202.36,443,6,2017-07-06 12:33:36.272378,5657716,7,8,348,165,220,0,49.71428571428571,81.1720688531761,165,0,20.625,58.33630944789017,90.6726318535607,2.6512465454257512,404122.5714285714,1440190.5242854136,5406916,3,5657716,942952.6666666667,2217696.1290585026,5469373,3,5595315,799330.7142857143,2059499.3233643556,5469355,3,3,1,0,0,0,0,152,168,1.2372483878653506,1.4139981575604008,0,220,34.2,68.9277053979644,4751.028571428571,2,2,0,4,14,0,0,0,1.1428571428571428,34.2,49.71428571428572,20.625,0,0,0,0,0,0,0,23,0,11,8192,4728,3,20,188334.0,0.0,188334,188334,5406916.0,0.0,5406916,5406916,-1,-1,5657716,BENIGN,-1
220310,192.168.10.12-23.61.187.27-34676-80-6,192.168.10.12,34676,23.61.187.27,80,6,2017-07-07 14:48:28.110554,3114460,3,2,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1.6054147428446666,778615.0,1508140.812549898,3040676,16,3114460,1557230.0,2150161.8149506794,3077624,36836,3077496,3077496.0,0.0,3077496,3077496,0,0,0,0,0,0,96,64,0.9632488457068,0.6421658971378666,0,0,0.0,0.0,0.0,2,0,0,0,5,0,0,0,0.6666666666666666,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,302,972,0,32,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,127750528,BENIGN,-1
244360,192.168.10.15-192.168.10.3-53875-53-17,192.168.10.15,53875,192.168.10.3,53,17,2017-07-04 19:41:50.035386,30942,2,2,58,202,29,29,29.0,0.0,101,101,101.0,0.0,8402.818175942086,129.27412578372437,10314.0,17819.353551686436,30890,3,49,49.0,0.0,49,49,3,3.0,0.0,3,3,0,0,0,0,0,0,16,16,64.63706289186219,64.63706289186219,29,101,65.0,41.569219381653056,1728.0,0,0,0,0,0,0,0,0,1.0,65.0,29.0,101.0,0,0,0,0,0,0,0,14,0,50,0,0,1,8,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,0,BENIGN,-1
393613,192.168.10.17-192.168.10.3-19908-53-17,192.168.10.17,19908,192.168.10.3,53,17,2017-07-05 18:24:04.155747,123413,2,2,84,202,42,42,42.0,0.0,101,101,101.0,0.0,2317.421989579704,32.4114963577581,41137.66666666667,71249.06469795469,123409,0,0,0.0,0.0,0,0,4,4.0,0.0,4,4,0,0,0,0,0,0,16,16,16.20574817887905,16.20574817887905,42,101,71.5,34.06366588218792,1160.3333333333333,0,0,0,0,0,0,0,0,1.0,71.5,42.0,101.0,0,0,0,0,0,0,0,21,0,50,0,0,1,8,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,0,BENIGN,-1
34015,192.168.10.8-192.168.10.3-62295-53-17,192.168.10.8,62295,192.168.10.3,53,17,2017-07-03 13:46:03.667526,220,2,2,138,394,69,69,69.0,0.0,197,197,197.0,0.0,2418181.818181818,18181.81818181818,73.33333333333334,121.82090679901104,214,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,0,0,16,16,9090.90909090909,9090.90909090909,69,197,133.0,73.9008344562721,5461.333333333333,0,0,0,0,0,0,0,0,1.0,133.0,69.0,197.0,0,0,0,0,0,0,0,34,0,98,0,0,1,8,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,0,BENIGN,-1
451591,192.168.10.5-151.101.0.166-53720-443-6,192.168.10.5,53720,151.101.0.166,443,6,2017-07-05 18:22:44.656160,5287001,4,4,32,31,31,0,8.0,15.3405779986718,31,0,7.75,15.500000000000002,11.916018173630002,1.5131451649053973,755285.8571428572,1984774.6270303528,5256302,1,5287001,1762333.6666666665,3039074.2504817704,5271543,3,5271669,1757223.0,3043597.784177798,5271667,1,1,1,0,0,1,0,80,92,0.7565725824526986,0.7565725824526986,0,31,7.875,14.277229623224729,203.8392857142857,2,0,1,2,8,0,0,0,1.0,7.875,8.0,7.75,0,0,0,0,0,0,0,4,0,3,252,153,1,20,15241.0,0.0,15241,15241,5256302.0,0.0,5256302,5256302,-1,-1,882929292,BENIGN,-1
341436,192.168.10.9-74.217.253.61-23445-443-6,192.168.10.9,23445,74.217.253.61,443,6,2017-07-05 19:48:23.330895,66645854,19,20,2188,6596,663,0,115.15789473684212,231.22482161017007,1551,0,329.80000000000007,529.9345143257648,131.80114700008195,0.585182688183424,1753838.2631578948,3687827.2860901607,10005111,1,66617566,3700975.888888889,4707551.307517591,10033499,183,66617360,3506176.842105263,4679477.947886462,10033372,1,5,7,0,0,0,0,404,484,0.2850890019355142,0.3000936862479097,0,1551,225.23076923076928,421.3714739138616,177553.9190283401,2,2,0,12,38,0,0,0,1.0526315789473684,225.23076923076923,115.15789473684212,329.8,0,0,0,0,0,0,0,56,0,169,8192,152,11,20,328597.5,735411.0423421041,1829749,28266,9966524.166666668,88199.24123350867,10005111,9786519,-1,-1,66645854,BENIGN,-1
164190,192.168.10.14-192.168.10.3-63517-53-17,192.168.10.14,63517,192.168.10.3,53,17,2017-07-07 14:22:44.311271,153,2,2,66,98,33,33,33.0,0.0,49,49,49.0,0.0,1071895.4248366014,26143.7908496732,51.0,82.27393268830657,146,3,3,3.0,0.0,3,3,4,4.0,0.0,4,4,0,0,0,0,0,0,16,16,13071.8954248366,13071.8954248366,33,49,41.0,9.237604307034012,85.33333333333331,0,0,0,0,0,0,0,0,1.0,41.0,33.0,49.0,0,0,0,0,0,0,0,16,0,24,0,0,1,8,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,0,BENIGN,-1
44475,192.168.10.3-192.168.10.1-62446-53-17,192.168.10.3,62446,192.168.10.1,53,17,2017-07-04 14:06:00.148122,108728,1,1,54,88,54,54,54.0,0.0,88,88,88.0,0.0,1306.011331027886,18.394525789125154,108728.0,0.0,108728,108728,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,8,8,9.197262894562575,9.197262894562575,54,88,71.0,24.04163056034261,578.0,0,0,0,0,0,0,0,0,1.0,71.0,54.0,88.0,0,0,0,0,0,0,0,27,0,44,0,0,0,8,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,0,BENIGN,-1
289785,192.168.10.19-172.217.10.98-60670-443-6,192.168.10.19,60670,172.217.10.98,443,6,2017-07-03 19:23:51.177203,115944164,23,20,2343,5093,1956,0,101.86956521739133,407.4363647299389,1418,0,254.65,498.1849450492099,64.1343189985828,0.3708681706480716,2760575.3333333344,4443167.166037531,10011280,1,115944164,5270189.272727272,5006021.332247399,10048007,4,115907485,6100393.947368421,4893109.236393501,10051230,188,4,3,0,0,0,0,744,648,0.198371347090829,0.1724968235572426,0,1956,172.93023255813955,452.9631749643167,205175.63787375417,2,2,0,7,42,0,0,0,0.8695652173913043,172.93023255813952,101.8695652173913,254.65,0,0,0,0,0,0,0,54,0,118,29200,391,4,32,47164.833333333336,34765.538417004886,157520,36722,9611772.333333336,1376016.2585016177,10011280,5242353,-1,-1,115944164,BENIGN,-1
