id,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,ICMP Code,ICMP Type,Total TCP Flow Time,Label,Attempted Category
62557,192.168.10.5-205.174.165.73-53709-8080-6,192.168.10.5,53709,205.174.165.73,8080,6,2017-07-07 13:39:36.267908,81379,5,4,196,128,196,0,39.2,87.65386471799175,128,0,32.0,64.0,3981.371115398321,110.5936420943978,10172.375,27662.385301227576,78629,31,81379,20344.75,39749.43681257216,79967,31,80830,26943.333333333336,44763.55209691623,78629,632,1,1,0,0,0,0,112,92,61.44091227466545,49.15272981973236,0,196,36.0,73.43023900274328,5392.0,2,2,0,2,8,0,0,0,0.8,36.0,39.2,32.0,0,0,0,0,0,0,0,21,0,14,8192,237,1,20,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,81379,Botnet,-1
63142,192.168.10.5-205.174.165.73-53710-8080-6,192.168.10.5,53710,205.174.165.73,8080,6,2017-07-07 13:39:46.349992,65872,5,4,196,128,196,0,39.2,87.65386471799175,128,0,32.0,64.0,4918.630070439641,136.6286130677678,8234.0,22170.14933901632,63097,70,65872,16468.0,31979.554979184228,64436,145,65222,21740.666666666664,35818.673235246075,63097,596,1,1,0,0,0,0,112,92,75.90478503764878,60.723828030119016,0,196,36.0,73.43023900274328,5392.0,2,2,0,2,8,0,0,0,0.8,36.0,39.2,32.0,0,0,0,0,0,0,0,21,0,14,8192,237,1,20,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,65872,Botnet,-1
65823,192.168.10.5-205.174.165.73-53885-8080-6,192.168.10.5,53885,205.174.165.73,8080,6,2017-07-07 13:49:32.212213,65336,5,4,196,128,196,0,39.2,87.65386471799175,128,0,32.0,64.0,4958.981266070772,137.749479613077,8167.0,22094.220634106365,62843,36,65336,16334.0,31775.496922419115,63995,36,64898,21632.666666666664,35692.02614497156,62843,578,1,1,0,0,0,0,112,92,76.52748867393167,61.221990939145336,0,196,36.0,73.43023900274328,5392.0,2,2,0,2,8,0,0,0,0.8,36.0,39.2,32.0,0,0,0,0,0,0,0,21,0,14,8192,237,1,20,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,65336,Botnet,-1
66044,192.168.10.5-205.174.165.73-53888-8080-6,192.168.10.5,53888,205.174.165.73,8080,6,2017-07-07 13:49:42.274615,210485,6,5,196,139,196,0,32.66666666666667,80.01666493091714,129,0,27.8,56.73799432479086,1591.5623441100315,52.260256075254766,21048.5,65638.16224533138,207857,31,210485,42097.0,93145.4432943448,208720,31,209813,52453.25000000001,103603.08701119866,207857,244,1,2,0,0,0,0,132,112,28.50559422286624,23.75466185238853,0,196,30.454545454545453,67.04828653494977,4495.472727272727,2,2,0,3,10,0,0,0,0.8333333333333334,30.454545454545453,32.666666666666664,27.8,0,0,0,0,0,0,0,17,0,12,8192,237,1,20,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,210485,Botnet,-1
66455,192.168.10.5-205.174.165.73-53892-8080-6,192.168.10.5,53892,205.174.165.73,8080,6,2017-07-07 13:50:12.758925,60046,5,4,196,128,196,0,39.2,87.65386471799175,128,0,32.0,64.0,5395.863171568464,149.885088099124,7505.75,20118.31150079094,57290,13,60046,15011.5,28974.94947364016,58471,57,59420,19806.666666666664,32464.55519999209,57290,621,1,1,0,0,0,0,112,92,83.26949338840222,66.61559471072178,0,196,36.0,73.43023900274328,5392.0,2,2,0,2,8,0,0,0,0.8,36.0,39.2,32.0,0,0,0,0,0,0,0,21,0,14,8192,237,1,20,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,60046,Botnet,-1
67139,192.168.10.5-205.174.165.73-53896-8080-6,192.168.10.5,53896,205.174.165.73,8080,6,2017-07-07 13:50:52.993217,67006,5,4,196,128,196,0,39.2,87.65386471799175,128,0,32.0,64.0,4835.387875712623,134.31632988090618,8375.75,22394.784403963346,63793,8,67006,16751.5,32303.434053776185,65203,57,66192,22064.0,36141.85361876173,63793,698,1,1,0,0,0,0,112,92,74.6201832671701,59.69614661373609,0,196,36.0,73.43023900274328,5392.0,2,2,0,2,8,0,0,0,0.8,36.0,39.2,32.0,0,0,0,0,0,0,0,21,0,14,8192,237,1,20,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,67006,Botnet,-1
67315,192.168.10.5-205.174.165.73-53899-8080-6,192.168.10.5,53899,205.174.165.73,8080,6,2017-07-07 13:51:23.180549,70735,5,4,196,128,196,0,39.2,87.65386471799175,128,0,32.0,64.0,4580.476426097405,127.23545628048348,8841.875,23996.501003494537,68226,18,70735,17683.75,34551.120718678096,69509,52,70140,23380.0,38839.28103093568,68226,615,1,1,0,0,0,0,112,92,70.6863646002686,56.54909168021488,0,196,36.0,73.43023900274328,5392.0,2,2,0,2,8,0,0,0,0.8,36.0,39.2,32.0,0,0,0,0,0,0,0,21,0,14,8192,237,1,20,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,70735,Botnet,-1
144885,192.168.10.9-205.174.165.73-4182-8080-6,192.168.10.9,4182,205.174.165.73,8080,6,2017-07-07 13:45:29.957201,83544,5,4,194,128,194,0,38.8,86.75943752699185,128,0,32.0,64.0,3854.2564397203873,107.72766446423442,10443.0,27322.980286094084,78000,33,83544,20886.0,40810.53782215242,82100,46,82991,27663.666666666664,43633.042070583775,78000,616,1,1,0,0,0,0,112,92,59.84870248013024,47.87896198410419,0,194,35.77777777777778,72.88651757660291,5312.444444444444,2,2,0,2,8,0,0,0,0.8,35.77777777777778,38.8,32.0,0,0,0,0,0,0,0,21,0,14,8192,237,1,20,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,83544,Botnet,-1
145036,192.168.10.15-205.174.165.73-52318-8080-6,192.168.10.15,52318,205.174.165.73,8080,6,2017-07-07 13:29:13.314320,245669,16,18,41950,128,7300,0,2621.8750000000005,2411.9762816689,128,0,7.111111111111111,30.169889330626027,171279.24158115187,138.3976000227949,7444.515151515152,41469.78102796753,238448,3,245669,16377.933333333334,62198.41788234381,241210,49,244992,14411.29411764706,57734.26436026173,238448,3,1,1,0,0,0,0,332,372,65.12828236366819,73.26931765912671,0,7300,1237.5882352941178,2097.568911970107,4399795.340463458,2,2,0,2,33,0,0,0,1.125,1237.5882352941176,2621.875,7.111111111111111,41950,12,14934140,0,0,0,0,1233,0,3,8192,890,12,20,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,245669,Botnet,-1
145216,192.168.10.9-205.174.165.73-3846-8080-6,192.168.10.9,3846,205.174.165.73,8080,6,2017-07-07 13:39:05.035808,63912,5,4,194,128,194,0,38.8,86.75943752699185,128,0,32.0,64.0,5038.177494054325,140.81862561021404,7989.0,21379.16528505531,60894,82,63912,15978.0,30838.520943780684,62233,82,63178,21059.333333333336,34501.34150048855,60894,650,1,1,0,0,0,0,112,92,78.23256978345225,62.5860558267618,0,194,35.77777777777778,72.88651757660291,5312.444444444444,2,2,0,2,8,0,0,0,0.8,35.77777777777778,38.8,32.0,0,0,0,0,0,0,0,21,0,14,8192,237,1,20,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,63912,Botnet,-1
