id,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,ICMP Code,ICMP Type,Total TCP Flow Time,Label,Attempted Category
79300,172.16.0.1-192.168.10.50-52032-22-6,172.16.0.1,52032,192.168.10.50,22,6,2017-07-04 18:07:01.839467,4755497,14,15,1304,2153,640,0,93.14285714285714,174.58471919335946,976,0,143.53333333333333,314.5661108499104,726.9482033108211,6.09820592884403,169839.17857142855,592415.0826110989,2548861,28,4755497,365807.4615384615,874364.2926458643,2628352,441,4717193,336942.3571428572,817838.5891759598,2548861,28,8,7,0,0,0,0,456,488,2.9439614828902214,3.154244445953809,0,976,119.20689655172411,253.54280834806696,64283.95566502462,0,2,0,15,28,0,0,0,1.0714285714285714,119.20689655172414,93.14285714285714,143.53333333333333,0,0,0,0,0,0,0,44,0,74,29200,247,8,32,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,4755497,SSH-Patator,-1
79301,172.16.0.1-192.168.10.50-52034-22-6,172.16.0.1,52034,192.168.10.50,22,6,2017-07-04 18:07:01.869122,4742052,14,15,1304,2153,640,0,93.14285714285714,174.58471919335946,976,0,143.53333333333333,314.5661108499104,729.0092980844579,6.115495992030454,169359.0,592025.2618918791,2548066,22,4742052,364773.2307692308,872615.647927077,2628331,293,4702754,335911.0,817471.5868002338,2548066,22,8,7,0,0,0,0,456,488,2.9523084099457364,3.163187582084717,0,976,119.20689655172411,253.54280834806696,64283.95566502462,0,2,0,15,28,0,0,0,1.0714285714285714,119.20689655172414,93.14285714285714,143.53333333333333,0,0,0,0,0,0,0,44,0,74,29200,247,8,32,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,4742052,SSH-Patator,-1
79302,172.16.0.1-192.168.10.50-52040-22-6,172.16.0.1,52040,192.168.10.50,22,6,2017-07-04 18:07:05.366967,1688206,10,10,1128,2009,640,0,112.8,203.802082641196,976,0,200.9,377.1602812834057,1858.18555318486,11.846895461809757,88852.94736842105,341074.59908899595,1495833,60,1688206,187578.44444444444,521514.5109922904,1577617,394,1648678,183186.44444444444,492817.2047618445,1495833,111,6,5,0,0,0,0,328,328,5.923447730904877,5.923447730904877,0,976,156.84999999999997,298.49398742071133,89098.66052631578,0,2,0,11,19,0,0,0,1.0,156.85,112.8,200.9,0,0,0,0,0,0,0,56,0,100,29200,247,6,32,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,1688206,SSH-Patator,-1
79303,172.16.0.1-192.168.10.50-52044-22-6,172.16.0.1,52044,192.168.10.50,22,6,2017-07-04 18:07:06.038529,1884425,13,11,1128,2009,640,0,86.76923076923077,183.29855147916192,976,0,182.63636363636363,362.8967546637122,1664.6987807952028,12.73598047149661,81931.52173913043,337387.96020670724,1627398,36,1884425,157035.41666666666,489427.2843112296,1709957,608,1844736,184473.6,508065.9251193469,1627398,97,6,5,0,0,0,0,424,360,6.89865608872733,5.83732438276928,0,976,130.70833333333331,277.79261566650865,77168.73731884059,0,2,0,11,23,0,0,0,0.8461538461538461,130.70833333333334,86.76923076923077,182.63636363636363,0,0,0,0,0,0,0,47,0,83,29200,247,6,32,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,1884425,SSH-Patator,-1
79304,172.16.0.1-192.168.10.50-52042-22-6,172.16.0.1,52042,192.168.10.50,22,6,2017-07-04 18:07:06.001549,1937542,13,11,1128,2009,640,0,86.76923076923077,183.29855147916192,976,0,182.63636363636363,362.8967546637122,1619.0616771146122,12.386828259722886,84240.95652173912,340897.4170129988,1644342,80,1937542,161461.83333333334,493617.53139852086,1726377,514,1898633,189863.3,512878.2526047483,1644342,632,6,5,0,0,0,0,424,360,6.709531974016563,5.677296285706323,0,976,130.70833333333331,277.79261566650865,77168.73731884059,0,2,0,11,23,0,0,0,0.8461538461538461,130.70833333333334,86.76923076923077,182.63636363636363,0,0,0,0,0,0,0,47,0,83,29200,247,6,32,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,1937542,SSH-Patator,-1
79305,172.16.0.1-192.168.10.50-52046-22-6,172.16.0.1,52046,192.168.10.50,22,6,2017-07-04 18:07:06.038571,1904571,13,11,1128,2009,640,0,86.76923076923077,183.29855147916192,976,0,182.63636363636363,362.8967546637122,1647.0900796032283,12.601262961580325,82807.4347826087,341731.6439578957,1648178,44,1904571,158714.25,495448.4236272732,1730722,664,1865500,186550.0,514646.3682175903,1648178,602,6,5,0,0,0,0,424,360,6.825684104189342,5.775578857390982,0,976,130.70833333333331,277.79261566650865,77168.73731884059,0,2,0,11,23,0,0,0,0.8461538461538461,130.70833333333334,86.76923076923077,182.63636363636363,0,0,0,0,0,0,0,47,0,83,29200,247,6,32,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,1904571,SSH-Patator,-1
79306,172.16.0.1-192.168.10.50-52050-22-6,172.16.0.1,52050,192.168.10.50,22,6,2017-07-04 18:07:06.107073,1888077,10,11,1128,2009,640,0,112.8,203.802082641196,976,0,182.63636363636363,362.8967546637123,1661.4788485850947,11.12242773997035,94403.85,361443.4618471178,1628270,35,1888077,209786.3333333333,564271.0427319038,1713803,832,1849054,184905.4,507902.0566896732,1628270,98,6,5,0,0,0,0,328,360,5.296394161890643,5.826033578079708,0,976,149.38095238095238,292.94239641787533,85815.24761904762,0,2,0,11,20,0,0,0,1.1,149.38095238095238,112.8,182.63636363636363,0,0,0,0,0,0,0,53,0,95,29200,247,6,32,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,1888077,SSH-Patator,-1
79307,172.16.0.1-192.168.10.50-52048-22-6,172.16.0.1,52048,192.168.10.50,22,6,2017-07-04 18:07:06.069100,1922051,13,11,1128,2009,640,0,86.76923076923077,183.29855147916192,976,0,182.63636363636363,362.8967546637123,1632.1106984153907,12.486661384115198,83567.43478260869,337312.2294703483,1628093,19,1922051,160170.9166666667,488445.5279925301,1709354,434,1882898,188289.8,507089.5686726579,1628093,49,6,5,0,0,0,0,424,360,6.7636082497290655,5.723053134386133,0,976,130.70833333333331,277.79261566650865,77168.73731884059,0,2,0,11,23,0,0,0,0.8461538461538461,130.70833333333334,86.76923076923077,182.63636363636363,0,0,0,0,0,0,0,47,0,83,29200,247,6,32,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,1922051,SSH-Patator,-1
92424,172.16.0.1-192.168.10.50-52056-22-6,172.16.0.1,52056,192.168.10.50,22,6,2017-07-04 18:07:48.172073,2138428,20,18,2296,3069,1432,0,114.8,326.7372354853844,976,0,170.50000000000003,307.3898176582952,2508.8522971079688,17.770062868611895,57795.35135135135,263582.56129186286,1608318,3,2138428,112548.84210526316,366369.5626265102,1608318,4,2097967,123409.82352941178,396752.0416926413,1655800,3,9,11,0,0,0,0,648,584,9.35266466769047,8.417398200921424,0,1432,141.18421052631578,314.68919503803147,99029.28947368424,0,2,0,20,37,0,0,0,0.9,141.18421052631578,114.8,170.5,0,0,0,0,0,0,0,60,0,80,29200,272,9,32,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,2138428,SSH-Patator,-1
110621,172.16.0.1-192.168.10.50-49216-22-6,172.16.0.1,49216,192.168.10.50,22,6,2017-07-04 17:39:08.093645,10581121,22,33,2008,2745,640,0,91.27272727272728,138.18213716071637,976,0,83.18181818181819,217.2857356318884,449.1962619083555,5.197936967170114,195946.6851851852,535321.1909277412,2006347,20,10581040,503859.0476190477,810977.9158300475,2064795,542,10581021,330656.90625,666367.2912050037,2006347,47,16,15,0,0,0,0,712,1064,2.079174786868045,3.118762180302068,0,976,86.41818181818178,188.20120152616525,35419.69225589226,2,2,0,31,54,0,0,0,1.5,86.41818181818182,91.27272727272728,83.18181818181819,0,0,0,0,0,0,0,36,0,49,29200,247,16,32,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,10581121,SSH-Patator,-1
