id,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,ICMP Code,ICMP Type,Total TCP Flow Time,Label,Attempted Category
23551,172.16.0.1-192.168.10.50-49522-80-6,172.16.0.1,49522,192.168.10.50,80,6,2017-07-06 12:57:30.566943,35253111,204,105,43906,72181,602,0,215.22549019607845,228.4321764737336,1068,0,687.4380952380955,367.1062496536914,3292.9576059259,8.765183872708427,114458.1525974026,327803.3281826194,3552545,3,35253060,173660.39408866994,391194.08111620107,3552545,889,35252980,338970.96153846144,515215.999868882,3553362,3,101,101,0,0,0,0,6536,3368,5.786723333438573,2.9784605392698538,0,1068,375.6860841423946,360.67195833125066,130084.26152649942,2,2,0,202,308,0,0,0,0.5147058823529411,375.6860841423948,215.22549019607845,687.4380952380952,0,0,0,0,0,0,0,142,0,233,29200,1176,101,32,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,35253111,Web Attack - Brute Force,-1
115401,172.16.0.1-192.168.10.50-58342-80-6,172.16.0.1,58342,192.168.10.50,80,6,2017-07-06 12:36:32.523258,32925619,204,105,43951,72198,602,0,215.44607843137257,228.5904592570812,1068,0,687.5999999999998,367.2551670055953,3527.6178103136044,9.384789394544107,106901.36038961045,270885.082733342,1276162,4,32925542,162194.78817733997,320245.3972794036,1276162,699,32925496,316591.30769230763,416928.2032844755,1276882,4,101,101,0,0,0,0,6536,3368,6.195783289601937,3.189006104942173,0,1068,375.8867313915857,360.771940389941,130156.39297272312,2,2,0,202,308,0,0,0,0.5147058823529411,375.8867313915858,215.4460784313725,687.6,0,0,0,0,0,0,0,142,0,233,29200,1174,101,32,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,32925619,Web Attack - Brute Force,-1
121725,172.16.0.1-192.168.10.50-49336-80-6,172.16.0.1,49336,192.168.10.50,80,6,2017-07-06 12:26:46.462425,33028450,204,105,43951,72194,602,0,215.44607843137257,228.5904592570812,1069,0,687.5619047619047,367.21880722663474,3516.5137934114377,9.355570727660549,107235.22727272726,271162.3228167972,1293952,4,33028398,162701.46798029554,320522.3751941381,1293952,892,33028348,317580.26923076937,417251.00939956505,1294873,4,101,101,0,0,0,0,6536,3368,6.176493295931235,3.179077431729312,0,1069,375.8737864077671,360.7482217183533,130139.27947295416,2,2,0,202,308,0,0,0,0.5147058823529411,375.873786407767,215.4460784313725,687.5619047619048,0,0,0,0,0,0,0,142,0,233,29200,1174,101,32,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,33028450,Web Attack - Brute Force,-1
121830,172.16.0.1-192.168.10.50-56356-80-6,172.16.0.1,56356,192.168.10.50,80,6,2017-07-06 12:34:22.603733,33347965,204,105,43951,72202,602,0,215.44607843137257,228.5904592570812,1068,0,687.6380952380954,367.2925663609725,3483.0611103256224,9.265932718833067,108272.61363636368,271535.155706771,1279999,4,33347904,164275.38916256157,320724.40977434244,1279999,875,33347843,320652.3365384616,415778.4997192479,1280850,4,101,101,0,0,0,0,6536,3368,6.117314804666491,3.1486179141665764,0,1068,375.8996763754047,360.7960169909284,130173.76587651829,2,2,0,202,308,0,0,0,0.5147058823529411,375.8996763754045,215.4460784313725,687.6380952380953,0,0,0,0,0,0,0,142,0,233,29200,1174,101,32,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,33347965,Web Attack - Brute Force,-1
132223,172.16.0.1-192.168.10.50-47044-80-6,172.16.0.1,47044,192.168.10.50,80,6,2017-07-06 12:54:49.744333,34212507,204,105,43951,72194,602,0,215.44607843137257,228.5904592570812,1068,0,687.5619047619049,367.2175503758355,3394.8111431880743,9.03178477975905,111079.56818181816,296792.6878004074,2524463,4,34212440,168534.18719211812,352410.90224762424,2524463,693,34212411,328965.49038461543,460257.53124812775,2525130,4,101,101,0,0,0,0,6536,3368,5.962731699258402,3.069053080500648,0,1068,375.8737864077669,360.7477897155331,130138.96778464247,2,2,0,202,308,0,0,0,0.5147058823529411,375.873786407767,215.4460784313725,687.5619047619048,0,0,0,0,0,0,0,142,0,233,29200,1174,101,32,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,34212507,Web Attack - Brute Force,-1
134243,172.16.0.1-192.168.10.50-41538-80-6,172.16.0.1,41538,192.168.10.50,80,6,2017-07-06 12:48:53.804541,35248957,204,105,43906,72183,602,0,215.22549019607845,228.4321764737336,1068,0,687.4571428571433,367.12437707370816,3293.402411878457,8.7662168273518,114444.66558441563,327872.08410017274,3543245,4,35248904,173639.92118226588,391280.5698027214,3543245,823,35248788,338930.6538461539,515353.961108281,3543960,4,101,101,0,0,0,0,6536,3368,5.787405284076916,2.978811543274884,0,1068,375.6925566343041,360.6838013029398,130092.80452233856,2,2,0,202,308,0,0,0,0.5147058823529411,375.6925566343042,215.22549019607845,687.4571428571429,0,0,0,0,0,0,0,142,0,233,29200,1176,101,32,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,35248957,Web Attack - Brute Force,-1
139818,172.16.0.1-192.168.10.50-38080-80-6,172.16.0.1,38080,192.168.10.50,80,6,2017-07-06 12:45:09.532769,32945595,204,105,43951,72202,602,0,215.44607843137257,228.5904592570812,1068,0,687.6380952380955,367.2928805099005,3525.6003116653383,9.379099087450085,106966.21753246756,271014.0962131841,1272945,41,32945539,162293.29556650243,320395.49986734963,1272945,864,32945470,316783.3653846154,416349.9807474116,1273725,49,101,101,0,0,0,0,6536,3368,6.19202658200588,3.187072505444203,0,1068,375.89967637540445,360.7961249772454,130173.84379859612,2,2,0,202,308,0,0,0,0.5147058823529411,375.8996763754045,215.4460784313725,687.6380952380953,0,0,0,0,0,0,0,142,0,233,29200,1174,101,32,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,32945595,Web Attack - Brute Force,-1
140655,172.16.0.1-192.168.10.50-55364-80-6,172.16.0.1,55364,192.168.10.50,80,6,2017-07-06 12:33:17.401895,33281090,204,105,43951,72209,602,0,215.44607843137257,228.5904592570812,1068,0,687.7047619047621,367.3605419279101,3490.2703006421966,9.284551677844686,108055.48701298713,271765.4305522814,1276509,20,33281070,163946.15763546803,321075.57571842114,1276509,887,33280988,320009.49999999994,416392.2368984572,1277364,49,101,101,0,0,0,0,6536,3368,6.129606932946007,3.15494474489868,0,1068,375.9223300970873,360.8390210919615,130204.79914260504,2,2,0,202,308,0,0,0,0.5147058823529411,375.92233009708735,215.4460784313725,687.7047619047619,0,0,0,0,0,0,0,142,0,233,29200,1174,101,32,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,33281090,Web Attack - Brute Force,-1
142021,172.16.0.1-192.168.10.50-48542-80-6,172.16.0.1,48542,192.168.10.50,80,6,2017-07-06 12:56:27.192694,33955653,204,105,43906,72178,602,0,215.22549019607845,228.4321764737336,1068,0,687.4095238095236,367.0787668365893,3418.694377634263,9.100104774895655,110245.6266233766,289155.42423750955,2276478,4,33955579,167268.8620689656,342854.2507354792,2276478,862,33955530,326495.4807692308,447301.014899688,2277274,4,101,101,0,0,0,0,6536,3368,6.007836162067036,3.092268612828621,0,1068,375.6763754045308,360.65409389962576,130071.37544656008,2,2,0,202,308,0,0,0,0.5147058823529411,375.6763754045308,215.22549019607845,687.4095238095238,0,0,0,0,0,0,0,142,0,233,29200,1176,101,32,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,33955653,Web Attack - Brute Force,-1
149068,172.16.0.1-192.168.10.50-50802-80-6,172.16.0.1,50802,192.168.10.50,80,6,2017-07-06 12:28:21.635952,35452774,204,105,43906,72191,602,0,215.22549019607845,228.4321764737336,1068,0,687.5333333333334,367.2065564885861,3274.6943863969573,8.715820093513699,115106.40909090907,327768.2891069333,3557331,3,35452694,174643.81280788174,390999.8215049535,3557331,896,35452671,340891.0673076921,514657.0594542943,3558178,3,101,101,0,0,0,0,6536,3368,5.754133653970209,2.96168643954349,0,1068,375.7184466019416,360.73449829828337,130129.3782625142,2,2,0,202,308,0,0,0,0.5147058823529411,375.71844660194176,215.22549019607845,687.5333333333333,0,0,0,0,0,0,0,142,0,233,29200,1176,101,32,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,35452774,Web Attack - Brute Force,-1
