id,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,ICMP Code,ICMP Type,Total TCP Flow Time,Label,Attempted Category
111770,172.16.0.1-192.168.10.50-52298-80-6,172.16.0.1,52298,192.168.10.50,80,6,2017-07-06 13:16:16.603214,60170367,208,107,47903,183657,585,0,230.30288461538476,248.3604198657466,4344,0,1716.4205607476638,578.0555408025364,3848.405976981992,5.235135095652649,191625.37261146496,357869.7631694121,1046237,4,60170321,290677.8792270532,407034.0848603669,1046237,4,60170215,567643.5377358492,413590.2748132948,1051112,5,101,101,0,0,0,0,6664,3432,3.456851110780162,1.7782839848724872,0,4344,735.1111111111109,806.4836608749838,650415.895258316,2,2,0,202,314,0,0,0,0.5144230769230769,735.1111111111111,230.3028846153846,1716.4205607476636,0,0,0,0,0,0,0,152,0,583,29200,1144,101,32,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,60170367,Web Attack - XSS,-1
117430,172.16.0.1-192.168.10.50-34940-80-6,172.16.0.1,34940,192.168.10.50,80,6,2017-07-06 13:33:22.450018,69374569,206,105,48783,183572,585,0,236.8106796116505,252.21026474251025,1869,0,1748.3047619047618,352.90350947013405,3349.282069053287,4.482910733470647,223788.93225806448,455775.1725892092,4896388,4,69374494,338412.1658536585,525046.4433612664,4896388,305,69374401,667061.5480769234,574200.9166813532,4897215,4,101,101,0,0,0,0,6600,3368,2.9693878170255736,1.513522916445074,0,1869,747.1221864951768,772.275371573139,596409.2495384299,2,2,0,202,310,0,0,0,0.5097087378640777,747.1221864951768,236.8106796116505,1748.304761904762,0,0,0,0,0,0,0,156,0,590,29200,1149,101,32,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,69374569,Web Attack - XSS,-1
122101,172.16.0.1-192.168.10.50-33580-80-6,172.16.0.1,33580,192.168.10.50,80,6,2017-07-06 13:31:12.187685,69422816,206,110,48783,183586,585,0,236.81067961165053,252.21026474251028,1869,0,1668.963636363636,443.8175699122358,3347.15607041927,4.551817661790038,220389.8920634918,450560.64728168695,4839753,4,69422768,338647.648780488,521753.5053438469,4839753,315,69422690,636905.4128440362,572143.0489009785,4840595,4,101,101,0,0,0,0,6600,3528,2.9673241719264167,1.5844934898636207,0,1869,735.3449367088612,759.2593496335936,576474.7600060275,2,2,0,202,315,0,0,0,0.5339805825242718,735.3449367088608,236.8106796116505,1668.9636363636364,0,0,0,0,0,0,0,154,0,580,29200,1149,101,32,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,69422816,Web Attack - XSS,-1
123891,172.16.0.1-192.168.10.50-55632-80-6,172.16.0.1,55632,192.168.10.50,80,6,2017-07-06 13:21:31.442976,67553643,205,105,48985,183689,585,0,238.9512195121952,253.24269062284435,1869,0,1749.419047619048,353.0628833985521,3444.285010654422,4.588945706451391,218620.20388349512,421836.1009153071,3784070,4,67553566,331144.9313725491,482227.5287731257,3784070,397,67553519,649553.0673076924,504471.6191779135,3784925,4,101,101,0,0,0,0,6568,3368,3.0346253865243065,1.554320319927084,0,1869,750.5612903225808,772.6406122181355,596973.5156488152,2,2,0,202,309,0,0,0,0.5121951219512195,750.5612903225806,238.9512195121951,1749.4190476190477,0,0,0,0,0,0,0,158,0,592,29200,1150,101,32,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,67553643,Web Attack - XSS,-1
135900,172.16.0.1-192.168.10.50-52910-80-6,172.16.0.1,52910,192.168.10.50,80,6,2017-07-06 13:17:13.203906,68116521,205,105,48985,183692,585,0,238.9512195121952,253.24269062284435,1869,0,1749.4476190476184,353.07065050650164,3415.8673488330382,4.551025147041787,220441.81553398055,422784.1455333119,3808060,4,68116494,333904.3823529413,482837.0044468451,3808060,318,68116424,654965.6153846153,502167.1202833533,3808906,4,101,101,0,0,0,0,6568,3368,3.0095488875598915,1.5414762594818956,0,1869,750.5709677419359,772.6543580950039,596994.7570832025,2,2,0,202,309,0,0,0,0.5121951219512195,750.5709677419355,238.9512195121951,1749.4476190476191,0,0,0,0,0,0,0,158,0,592,29200,1150,101,32,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,68116521,Web Attack - XSS,-1
143599,172.16.0.1-192.168.10.50-57684-80-6,172.16.0.1,57684,192.168.10.50,80,6,2017-07-06 13:24:44.263170,66976121,205,106,48783,183586,585,0,237.96585365853664,252.2807800161692,1869,0,1731.9433962264145,375.0598639249517,3469.430545253583,4.643445982785416,216052.00322580643,412865.7704013381,3535287,4,66976043,328313.93627450976,471624.39122662286,3535287,258,66975995,637866.6190476187,489645.434602592,3536204,4,101,101,0,0,0,0,6568,3400,3.0607923680739884,1.582653614711428,0,1869,747.1672025723473,769.8026418745181,592596.1074369877,2,2,0,202,310,0,0,0,0.5170731707317073,747.1672025723473,237.9658536585366,1731.9433962264152,0,0,0,0,0,0,0,156,0,590,29200,1149,101,32,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,66976121,Web Attack - XSS,-1
157592,172.16.0.1-192.168.10.50-56306-80-6,172.16.0.1,56306,192.168.10.50,80,6,2017-07-06 13:22:35.229572,68151611,205,115,48783,183606,585,0,237.96585365853664,252.2807800161692,1870,0,1596.5739130434788,501.9857945300767,3409.882709889279,4.6954135831066415,213641.41379310336,445920.6806414781,4804702,45,68151547,334076.2107843135,520635.6784256375,4804702,249,68151487,597820.0614035085,576603.3194966634,4805402,45,101,101,0,0,0,0,6568,3688,3.007999326677692,1.6874142564289492,0,1870,726.2156250000004,746.3500446149828,557038.3890967869,2,2,0,202,319,0,0,0,0.5609756097560976,726.215625,237.9658536585366,1596.5739130434783,0,0,0,0,0,0,0,152,0,573,29200,1149,101,32,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,68151611,Web Attack - XSS,-1
158230,172.16.0.1-192.168.10.50-59042-80-6,172.16.0.1,59042,192.168.10.50,80,6,2017-07-06 13:26:51.162032,68065237,214,107,48783,183584,585,0,227.95794392523365,251.492415079861,1869,0,1715.7383177570096,394.8718764370501,3413.886592358446,4.716063796266514,212703.86562500015,444545.0257056748,4821803,3,68065174,319554.8075117371,512895.8969972087,4821803,3,68065094,642123.5283018867,573036.6645505695,4822860,60,101,101,0,0,0,0,6856,3432,3.144042530844343,1.5720212654221717,0,1869,723.8847352024926,766.2724114487667,587173.408547508,2,2,0,202,320,0,0,0,0.5,723.8847352024923,227.95794392523365,1715.738317757009,0,0,0,0,0,0,0,151,0,571,29200,1149,101,32,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,68065237,Web Attack - XSS,-1
175343,172.16.0.1-192.168.10.50-58360-80-6,172.16.0.1,58360,192.168.10.50,80,6,2017-07-06 13:25:47.687536,67291468,210,105,48985,183697,585,0,233.2619047619048,252.84591252303863,1870,0,1749.4952380952377,353.08753882466607,3457.8232117034518,4.68112837128178,214304.03821656064,418587.37034388736,3808906,4,67291385,321968.34928229643,478370.7177371171,3808906,4,67291344,647032.153846154,505356.75290743,3809547,4,101,101,0,0,0,0,6728,3368,3.120752247521186,1.560376123760593,0,1870,738.673015873016,772.2388687756409,596352.8704478815,2,2,0,202,314,0,0,0,0.5,738.6730158730159,233.2619047619048,1749.4952380952382,0,0,0,0,0,0,0,155,0,583,29200,1150,101,32,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,67291468,Web Attack - XSS,-1
177981,172.16.0.1-192.168.10.50-34278-80-6,172.16.0.1,34278,192.168.10.50,80,6,2017-07-06 13:32:19.286105,67053821,206,105,48985,183687,585,0,237.7912621359224,253.1722639633941,1870,0,1749.4000000000008,353.0556340992603,3469.92902910037,4.638065293848057,216302.6483870968,393492.36360922223,2587661,5,67053745,327091.4390243901,445104.6028363562,2587661,366,67053650,644746.6346153844,436754.94364378136,2588369,5,101,101,0,0,0,0,6600,3368,3.0721590049282947,1.565906288919762,0,1870,748.1414790996785,772.5571484757818,596844.5476610311,2,2,0,202,310,0,0,0,0.5097087378640777,748.1414790996785,237.79126213592232,1749.4,0,0,0,0,0,0,0,157,0,590,29200,1150,101,32,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,67053821,Web Attack - XSS,-1
